ID,Title,Genres,Rating,Year,Numrate,Runtime,Image,Directors,Writers,Stars
tt2358913,Berserk: The Golden Age Arc III - The Advent,"Adult Animation, Anime, Dark Fantasy, Seinen, Action, Adventure, Animation, Drama, Fantasy, Horror",7.8,2013,12K,110,"https://m.media-amazon.com/images/M/MV5BYzNkOGUxOTUtMWVkNy00YjcxLWEzZTYtYTRhNTIwMWFmOGYyXkEyXkFqcGc@._V1_QL75_UY281_CR3,0,190,281_.jpg",Toshiyuki Kubooka,"Kentaro Miura, Ichirô Ôkouchi","Hiroaki Iwanaga, Takahiro Sakurai, Toa Yukinari"
tt4193394,Indignation,"Coming-of-Age, Period Drama, Drama, Romance",6.7,2016,13K,110,"https://m.media-amazon.com/images/M/MV5BMjIyNDg4OTYwOF5BMl5BanBnXkFtZTgwOTQ3ODgwOTE@._V1_QL75_UX190_CR0,0,190,281_.jpg",James Schamus,"Philip Roth, James Schamus","Logan Lerman, Sarah Gadon, Tijuana Ricks"
tt1876451,Sparkle,"Drama, Music",5.8,2012,6.8K,116,"https://m.media-amazon.com/images/M/MV5BMTY4MTAzOTU2OF5BMl5BanBnXkFtZTcwOTA1NTI3Nw@@._V1_QL75_UX190_CR0,0,190,281_.jpg",Salim Akil,"Mara Brock Akil, Joel Schumacher, Howard Rosenman","Jordin Sparks, Carmen Ejogo, Whitney Houston"
tt3184934,The New Girlfriend,"Comedy, Drama, Romance",6.5,2014,9.3K,108,"https://m.media-amazon.com/images/M/MV5BMjQyNzc4NTIyOV5BMl5BanBnXkFtZTgwMjQ0NTcwNjE@._V1_QL75_UY281_CR3,0,190,281_.jpg",François Ozon,"Ruth Rendell, François Ozon","Romain Duris, Anaïs Demoustier, Raphaël Personnaz"
tt1001562,Witless Protection,"Comedy, Crime",3.4,2008,6.6K,97,"https://m.media-amazon.com/images/M/MV5BMTU2OTc5ODA1M15BMl5BanBnXkFtZTcwOTkzMzU1MQ@@._V1_QL75_UX190_CR0,7,190,281_.jpg",Charles Robert Carner,"Charles Robert Carner, Alan C. Blomquist","Larry the Cable Guy, Jenny McCarthy-Wahlberg, Richard Bull"
tt0259974,Digimon: The Movie,"Anime, Action, Adventure, Animation, Family, Sci-Fi",6.0,2000,8.2K,82,"https://m.media-amazon.com/images/M/MV5BMjE2NTAyMjUxMl5BMl5BanBnXkFtZTYwOTAwODQ3._V1_QL75_UX190_CR0,0,190,281_.jpg","Bob Buchholz, Mamoru Hosoda, Jeff Nimoy","Akiyoshi Hongo, Jeff Nimoy, Bob Buchholz","Lara Jill Miller, Joshua Seth, Bob Papenbrook"
tt1083456,Fired Up!,"Comedy, Sport",6.1,2009,47K,90,"https://m.media-amazon.com/images/M/MV5BMjE3MDMxMTQ0M15BMl5BanBnXkFtZTcwNTA0MDAyMg@@._V1_QL75_UX190_CR0,0,190,281_.jpg",Will Gluck,Will Gluck,"Eric Christian Olsen, Nicholas D'Agosto, Sarah Roemer"
tt7668870,Searching,"Psychological Thriller, Suspense Mystery, Drama, Mystery, Thriller",7.6,2018,186K,102,"https://m.media-amazon.com/images/M/MV5BYjA2ZTk3NDEtZDQ2Mi00MzhjLTgwZWYtOTBkMjUyMGYwMjI4XkEyXkFqcGc@._V1_QL75_UX190_CR0,0,190,281_.jpg",Aneesh Chaganty,"Aneesh Chaganty, Sev Ohanian","John Cho, Debra Messing, Joseph Lee"
tt11240348,The Exorcism,"Psychological Horror, Supernatural Horror, Horror, Thriller",4.2,2024,11K,95,"https://m.media-amazon.com/images/M/MV5BMzgwNTJjYzgtMTBmMS00MjRhLWJlNTUtNDcyMzFiM2I5MjAwXkEyXkFqcGc@._V1_QL75_UX190_CR0,0,190,281_.jpg",Joshua John Miller,"M.A. Fortin, Joshua John Miller","Russell Crowe, Ryan Simpkins, Sam Worthington"
tt2316801,Beauty and the Beast,"Drama, Family, Fantasy, Romance, Thriller",6.4,2014,23K,112,"https://m.media-amazon.com/images/M/MV5BOTQ1NmU3MDktMzlhMS00MTAxLWEzM2UtZjViMTUzODU3MGQzXkEyXkFqcGc@._V1_QL75_UY281_CR9,0,190,281_.jpg",Christophe Gans,"Sandra Vo-Anh, Christophe Gans, Jeanne-Marie Leprince de Beaumont","Vincent Cassel, Léa Seydoux, André Dussollier"
